"Ticker","Company Name","Sector","Shares Outstanding, Millions"
"SLG","SL Green Realty Corp","Financials","99.6"
"SNA","Snap-On Inc.","Consumer Discretionary","58.1"
"SNDK","SanDisk Corporation","Information Technology","204.4"
"SNI","Scripps Networks Int.","Consumer Discretionary","128.5"
"SO","Southern Co.","Utilities","908.0"
"SPG","Simon Property Group Inc.","Financials","309.4"
"SPLS","Staples Inc.","Consumer Discretionary","643.5"
"SRCL","Stericycle Inc.","Industrials","84.8"
"SRE","Sempra Energy","Utilities","248.0"
"STI","SunTrust Banks","Financials","518.0"
"STJ","St. Jude Medical, Inc.","Health Care","281.5"
"STT","State Street Corp.","Financials","407.8"
"STX","Seagate Technology","Information Technology","149.4"
"STZ","Constellation Brands","Consumer Staples","196.5"
"SWK","Stanley Black & Decker","Consumer Discretionary","153.2"
"SWKS","Skyworks Solutions Inc","Information Technology","191.0"
"SWN","Southwestern Energy","Energy","384.5"
"SYK","Stryker Corp.","Health Care","376.6"
"SYMC","Symantec Corp.","Information Technology","679.2"
"SYY","Sysco Corp.","Consumer Staples","594.3"
"T","AT&T Inc.","TelecommunicationsServices","5193.3"
"TAP","Molson Coors Brewing Co.","Consumer Staples","185.7"
"TDC","Teradata Corp.","Information Technology","141.6"
"TE","TECO Energy","Utilities","235.1"
"TEL","TE Connectivity Ltd.","Information Technology","132.6"
"TGNA","TEGNA Inc","Consumer Discretionary","226.5"
"TGT","Target Corp.","Consumer Discretionary","630.4"
"THC","Tenet Healthcare Corp.","Health Care","99.3"
"TIF","Tiffany & Co.","Consumer Discretionary","128.9"
"TJX","TJX Companies Inc.","Consumer Discretionary","674.4"
"TMK","Torchmark Corp.","Financials","1168.3"
"TMO","Thermo Fisher Scientific","Health Care","398.5"
"TRIP","TripAdvisor","Consumer Discretionary","144.1"
"TROW","T. Rowe Price Group","Financials","257.4"
"TRV","The Travelers Companies","Financials","311.2"
"TSCO","Tractor Supply Co.","Consumer Discretionary","135.8"
"TSN","Tyson Foods","Consumer Staples","374.4"
"TSO","Tesoro Petroleum Co.","Energy","123.1"
"TSS","Total System Services","Information Technology","183.9"
"TWC","Time Warner Cable Inc.","Consumer Discretionary","282.9"
"TWX","Time Warner Inc.","Consumer Discretionary","817.0"
"TXN","Texas Instruments","Information Technology","1034.1"
"TXT","Textron Inc.","Industrials","276.3"
"TYC","Tyco Int'l","Industrials","421.5"
